text,label,predicted_label,confidence,is_correct
انا اتباع الرسول الاكرم محمد صلي الله عليه وسلم وخلفايه الراشدين ابي بكر وعمر وعثمان وعلي رضي الله عنهم,Negative,Negative,0.3343089503453155,True
اللهم اكثر عزايهم عظم حزنهم احزانهم فرق شملهم زد اوجاعهم اللهم احصهم عددا واقتلهم بددا تبق منهم احدا زدهم اللهم ذلا هوانا بعد شاهدوا مقاطع فيديو غير منشوره عمليات كتايب القسام اعضاء الكنيست الاسراييلي يبكون بمراره,Negative,Negative,0.3349151090542434,True
موقف متميز للاشقاء المملكهالعربيهالسعوديه، وحتي الان نجد مواقفا عربيه ممتازه مصر الاردن الامارات تونس الجزاير الكويت المغرب العراق اليمن وغيرهم جمعهطوفانالاقصي,Positive,Negative,0.3361248342661706,False
نعم يمثلني,Negative,Negative,0.336852819917281,True
مكدرتش اكطعه شاءالله المره الجاي برقعها,Neutral,Neutral,0.3371166387713978,True
نازيون يقدمون الدعم لاحتلال نازي صهيو لارض فلسطين,Negative,Negative,0.33726454096071273,True
محمد بعدما سمعت صوتك استسلمت,Neutral,Neutral,0.33777628279367505,True
ستر علي مسلم الدنيا ستره الله يوم القيامه,Neutral,Neutral,0.3380585079921293,True
نعم الرجل محمد محمد مبتدا موخر، خبر لمبتدا محذوف تقديره، نعم الرجل محمد,Positive,Positive,0.33833373402187117,True
ولما برزوا لجالوت وجنوده قالوا ربنا افرغ علينا صبرا وثبت اقدامنا وانصرنا علي القوم الكافرين,Positive,Positive,0.3387863266706102,True
يقول حزب الله ذكي,Negative,Negative,0.3388602002772774,True
اطلق نداء لكل الدول لاضراب عصيانمدني لعل الناس تفعل شيء,Positive,Positive,0.3388678105795973,True
امريكا تستخدمه الان فنزويلالكن بلد لها الحق بما تقوم بمقدراتها وتبقي فلسطين رمزا للصمود مهما حدث,Neutral,Positive,0.33889895387025454,False
اكتر لازم نشتغل عليه الفتره الجاي علي مواقع تواصل الاجتماعي علي جوانب,Positive,Negative,0.33931435883637195,False
حفظ الله السيسي وجعله سدا منيعا وجوه اليهود والنصاري وجماعه الاخوان الارهابيه,Neutral,Neutral,0.3393218681089158,True
نسيتي تكتبي سلامتك انا 🤒,Negative,Negative,0.3393969883396148,True
انا اخد بالي والله مارضيت اعلق اول ماجت عليه الكاميره,Negative,Negative,0.3394903873476062,True
ستوريات الحناوي بتوجع القلب,Negative,Positive,0.3397512999667842,False
تهزم امه قايدها محمد,Neutral,Negative,0.3399648502693481,False
جوز اختك هاظ,Positive,Neutral,0.3401332546934292,False
