true_label,predicted_label,text
Neutral,Negative,فلسطين قضيه احنا اصحاب قضيه متضامنين
Neutral,Negative,نعم مازال هناك فاء
Neutral,Negative,مستحيل وين مصادرك
Neutral,Negative,انا وخواتي اذا قالت امي وحده فيكم تدخل تسلم قبل اميره صوتي لسافيتش انفداك منهم يستحق يكون هدفالجوله
Neutral,Negative,اعلام العدو انباء انفجارات الجليل الاعلي وفي الوقت نفسه، ورد تقرير لبنان اطلاق صاروخ
Negative,Neutral,ازبط بالسوتكس ازبط بالسوتكس ازبط بالسوتكس ازبط بالسوتكس ازبط بالسوتكس
Negative,Neutral,رساله قبول وظيفه اسوا انواع الانتظار؟
Negative,Neutral,حول ولا قوه الا بالله والله نغفر ولن نسامح
Negative,Neutral,اسامه حمدان جيش نتنياهو يعاني فشلا عسكريا الميدان ويبث الاكاذيب عاجل
Negative,Neutral,فلسطيني يافا يعيش الاردن
Positive,Negative,حفظ الله احرار وشرفاء هذه الامه ولانامت اعين الجبناء
Positive,Negative,دفاعنا الاردن نابع حبنا الها كرها ولا تعنصر دوله ثانيه ابدا بنحب البلاد العربيه بتضل الاردن غير
Positive,Negative,قعدت واحد ملحد هبلني صار معي انفصام الله يوفقه 🤦‍🤦‍ منكلله مااهذري
Positive,Negative,اهم انو علمو علي التخين فيكم
Positive,Negative,تكرم انت وفلسطين
Positive,Neutral,اجبرهم عوضهم
Positive,Neutral,لانريد ذلنا الوبدا القدسعاصمهفلسطينالابديه
Positive,Neutral,زياره اخصاييه التوجيه المهني بمدرسه رمال الشرقيه للتعليم الاساسي الاستاذه شيخه المشرفيه الي معرض التخصصات جامعه السلطان قابوس مدارسنامستقبلواعد
Positive,Neutral,الله يثبتهم وينصرهم
Positive,Neutral,الله يكرمك ويكرم اصلك
Negative,Positive,والله بياكلونا الا اذا دخل الصغار يوم واحد يبرز ويفاجانا يارب تاريخيه بس
Negative,Positive,احلي بالمباراه بروز المنفوخ انكشف علي حقيقته
Negative,Positive,بيض الله وجيهكم يالنشامي ملوك وملكيات الاردن الحبيبه
Negative,Positive,اللهم يهزم جنده ولا يخلف وعده، ولا اله غيره، كن لاهل فلسطين عونا ونصيرا، ومعينا وظهيرا، اللهم انصرهم ولا تنصر عليهم اللهم ترفع لليهود القدس رايه، ولا تحقق لهم غايه واجعلهم للناس ايه طوفانالاقصي غزهتحتالقصف غزهتباد
Negative,Positive,منظر مخيف جمعه مباركه جميعا الله يفرجها علي اهلنا غزه
Neutral,Positive,انبسط الم ،صباحك سعاده
Neutral,Positive,ديوان الدوق عمان معالم وسطالبلد الجميله اثارالكتبا الاردن
Neutral,Positive,الاردن معالاردنبقيادته الاردنخطاحمر جلالهالملكعبداللهالثاني الاردنيدعمفلسطين
Neutral,Positive,امين والله كلنا بنحب عمر
Neutral,Positive,الطف هذا الكاين؟
